page_id,ui_function,label_cs,binding_kind,backend_operation,permission,dashboard,dashboard_surface,chat,validation,audit,enabled_when,disabled_when,confirmation
auth.login,login.submit,Prihlasit se,CANONICAL_OPERATION,owner.auth.login,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,"username,password locally valid AND not pending",missing field OR local invalid OR throttle/lock active OR request pending,NONE
auth.mfa,mfa.verify,Ověřit,CANONICAL_OPERATION,owner.auth.loginMfa,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,exactly one of valid TOTP/recovery inputs present AND not pending,both empty OR conflicting modes OR pending,NONE
auth.mfa,mfa.showSeed,Zobrazit ruční seed,CANONICAL_OPERATION,owner.mfa.enroll,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,enrollment session active,MFA already active OR session not enrollment,NONE
auth.mfa,mfa.copyRecovery,Kopírovat recovery kódy,CLIENT_ONLY,CLIENT_ONLY,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,fresh enrollment completion response contains codes,codes no longer revealable,NONE
central.chat,chat.new,Nová konverzace,CANONICAL_OPERATION,chat.conversation.create,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,session authenticated,request pending,NONE
central.chat,chat.send,Odeslat,CANONICAL_OPERATION,chat.ask,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,message has content OR attachment/url/target reference AND model capability ready,empty submission OR OPENAI_CONFIGURATION_REQUIRED for AI turn OR pending same submit,NONE
central.chat,chat.steer,Upravit směr,CANONICAL_OPERATION,chat.turn.steer,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,turn nonterminal AND operation permits steer,terminal turn OR reconciliation/manual-review barrier,NONE
central.chat,chat.cancel,Zrušit běh,CANONICAL_OPERATION,chat.conversation.cancel,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,current turn cancellable and nonterminal,no cancellable turn OR cancellation already committed,NONE
central.chat,chat.openWeb,Otevřít web,DYNAMIC_CANONICAL_DISPATCH,chat.browser.session.create / chat.browser.session.attach,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,browser capability available AND valid target URL/intention,browser capability unavailable OR recovery barrier,NONE
central.chat,chat.takeover,Převzít ovládání,CANONICAL_OPERATION,chat.browser.control.acquire,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,NOT_DECLARED_IN_ACTION_RECORD,See binding and operation schema; semantic payload validation not proven by this projection,NOT_DECLARED_IN_ACTION_RECORD,session READY/PAUSED and controller != OWNER and no incompatible transfer pending,already OWNER OR transfer/recovery pending,NONE
