page_id,title,route,fields,actions,required_states,panels,reference_file
auth.login,Prihlaseni,/login,2,1,READY|VALIDATION_ERROR|AUTH_FAILED|THROTTLED|LOCKED|PENDING,Login card|Validation/error region|Throttle/locked notice,03_UI_REFERENCE/pages/login.html
auth.mfa,MFA / enrollment / recovery,/login/mfa,3,3,ENROLLMENT_REQUIRED|READY|VERIFYING|VERIFIED|FAILED|RECOVERY_USED,Enrollment QR/seed panel|TOTP/recovery form|One-time recovery codes panel,03_UI_REFERENCE/pages/login-mfa.html
central.chat,Centrální chat,/chat,6,11,LOADING|EMPTY|READY|STREAMING|ACTION_RUNNING|OPENAI_CONFIGURATION_REQUIRED|BROWSER_CHALLENGE|RECONNECTING|ERROR,Conversation list|Message timeline|Tool/action activity|Composer|Context/evidence drawer|Pinned Browser Preview Surface,03_UI_REFERENCE/pages/chat.html
dashboard,Dashboard,/dashboard,5,10,LOADING|EMPTY|READY|LIVE|STALE|RECONNECTING|PARTIAL|ERROR,Metric strip|Topology canvas|Filter/search bar|Selection inspector|Live event stream|Correlation detail drawer,03_UI_REFERENCE/pages/dashboard.html
generation,Generování,/generation,4,9,DRAFT|DISCUSSING|BLOCKED|SPEC_READY|APPROVAL_REQUIRED|RUNNING|VALIDATING|ACTIVATING|COMPLETED|FAILED|CANCELLING|MANUAL_REVIEW,Discussion panel|Web tab|Specification tab|Evidence tab|Progress tab|Source/fact inventory|Capability coverage matrix|Target graph|Generation DAG|Files/diff|Validation/eval results|Blockers|Candidate/release/activation panel,03_UI_REFERENCE/pages/generation.html
agents,AI agenti,/agents,5,9,LOADING|EMPTY|READY|EDITING|VALIDATING|RUNNING|PAUSED|APPROVAL_REQUIRED|FAILED|MANUAL_REVIEW,Agent catalog|Revision editor|Tool binding graph|Handoff graph|Guardrails/approval|Session/memory browser|Run console|Browser panel|Eval suite|Usage/SLO|Triggers/schedules|Activation/rollback|Secrets/bindings/logs/audit,03_UI_REFERENCE/pages/agents.html
mcp,MCP servery a nástroje,/mcp,6,6,LOADING|EMPTY|READY|DISCOVERING|EXECUTING|STREAMING|INPUT_REQUIRED|TASK_ACTIVE|STALE_SNAPSHOT|PROTOCOL_ERROR|RECONCILING|MANUAL_REVIEW,Server catalog|Protocol era/revision header|Discover inspector|HTTP/JSON-RPC inspector|Capabilities/extensions|Discovery snapshots/cache|Tools/resources/prompts explorer|Schema/projection viewer|Request builder|Raw JSON-RPC/SSE evidence|MRTR console|Subscription console|State handle browser|Task console|Binding graph|Idempotency/concurrency/reconciliation|Runtime/health/monitoring|Activation/rollback|Logs/audit,03_UI_REFERENCE/pages/mcp.html
browser,Browser relace a automatizace,/browser,5,14,CREATING|READY|AI_CONTROLS|TAKING_OVER|OWNER_CONTROLS|AUTOMATION_CONTROLS|CHALLENGE|PAUSED|RECOVERING|CLOSED|FAILED|STALE_ANNOTATION,Session inventory table|Preview surface|URL/page tree|Control holder banner|Operation/current action target|Challenge card|Mode toolbar|Annotation toolbar|Annotation/focus list|Account save card|Artifacts/evidence|Automation teaching/replay panel,03_UI_REFERENCE/pages/browser.html
registered,Registrované prvky,/registered,3,4,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Metric/status strip|Search/filter bar|Dense table/card switch|Quick action menu|Last event/alarm column,03_UI_REFERENCE/pages/registered.html
components,Katalog komponent,/components,6,10,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Catalog filters|Table/card view|Identity overview|Revision/release tabs|Runtime|Contracts/relations|Secrets/bindings|Monitoring|Logs/audit|Usage graph|Diff viewer|Registration/import panel,03_UI_REFERENCE/pages/components.html
