function_id,UI_function,canonical_operations,access,dashboard_target,dashboard_observed,object_panel,chat_target,validation_contract,audit_event,source_ref
ui.login.submit,Prihlasit se,owner.auth.login,AUTHENTICATION_FLOW,auth.login,NOT_IN_DASHBOARD_REFERENCE,Login boundary,AUTHENTICATION_UI,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0008""]}]","{""owner.auth.login"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/0/actions/0
ui.mfa.verify,Ověřit,owner.auth.loginMfa,AUTHENTICATION_FLOW,auth.mfa,NOT_IN_DASHBOARD_REFERENCE,Login boundary,AUTHENTICATION_UI,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0009""]}]","{""owner.auth.loginMfa"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/1/actions/0
ui.mfa.showSeed,Zobrazit ruční seed,owner.mfa.enroll,AUTHENTICATION_FLOW,auth.mfa,NOT_IN_DASHBOARD_REFERENCE,Login boundary,AUTHENTICATION_UI,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0015""]}]","{""owner.mfa.enroll"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/1/actions/1
ui.mfa.copyRecovery,Kopírovat recovery kódy,,AUTHENTICATION_FLOW,auth.mfa,NOT_IN_DASHBOARD_REFERENCE,Login boundary,AUTHENTICATION_UI,[],{},ui/contracts/ui-control-registry.json#/pages/1/actions/2
ui.chat.new,Nová konverzace,chat.conversation.create,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.new,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0190""]}]","{""chat.conversation.create"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/0
ui.chat.send,Odeslat,chat.ask,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.send,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0199""]}]","{""chat.ask"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/1
ui.chat.steer,Upravit směr,chat.turn.steer,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.steer,CANONICAL_COMMAND,"[""closure/contracts/operation-payloads.json#/records/1/requestSchema""]","{""chat.turn.steer"": ""Every admission, transition, child reservation, outcome and manual-review decision records logicalOperationId, correlationId, actor/channel and before/after digests.""}",ui/contracts/ui-control-registry.json#/pages/2/actions/2
ui.chat.cancel,Zrušit běh,chat.conversation.cancel,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.cancel,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0195""]}]","{""chat.conversation.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/3
ui.chat.openWeb,Otevřít web,chat.browser.session.attach|chat.browser.session.create,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.openWeb,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0198""]}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0197""]}]","{""chat.browser.session.attach"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""chat.browser.session.create"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/4
ui.chat.takeover,Převzít ovládání,chat.browser.control.acquire,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.takeover,CANONICAL_COMMAND,"[{""schemaId"": ""urn:kcml:r9:operation:chat.browser.control.acquire:command""}]","{""chat.browser.control.acquire"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/5
ui.chat.returnAi,Vrátit AI,chat.browser.control.returnToAi,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.returnAi,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0277"", ""route.0301""]}]","{""chat.browser.control.returnToAi"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/6
ui.chat.pickTarget,Vybrat prvek,browser.target.pick|chat.browser.target.attach,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.pickTarget,CLIENT_INTERACTION,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0305""]}, {""schemaId"": ""urn:kcml:r9:operation:chat.browser.target.attach:command""}]","{""browser.target.pick"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""chat.browser.target.attach"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/7
ui.chat.loginHuman,Přihlásit se,chat.browser.control.acquire,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.loginHuman,CANONICAL_COMMAND,"[{""schemaId"": ""urn:kcml:r9:operation:chat.browser.control.acquire:command""}]","{""chat.browser.control.acquire"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/8
ui.chat.saveAccount,Uložit účet,browser.account.save,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.saveAccount,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0269"", ""route.0310"", ""route.0326""]}]","{""browser.account.save"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/9
ui.chat.closeBrowser,Zavřít relaci,browser.session.close,OWNER_FULL,dashboard.drawer.central.chat,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > central.chat > chat.closeBrowser,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0318""]}]","{""browser.session.close"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/2/actions/10
ui.dashboard.fit,Přizpůsobit,,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.fit,CLIENT_INTERACTION,[],{},ui/contracts/ui-control-registry.json#/pages/3/actions/0
ui.dashboard.connect,Propojit,binding.create,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.connect,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0031""]}]","{""binding.create"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/1
ui.dashboard.disconnect,Odpojit,binding.remove,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.disconnect,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0033""]}]","{""binding.remove"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/2
