pageId,route,pageTitle,controlKind,controlId,label,inputType,inputProfile,required,validation,editableWhen,source,operationBinding,enabledWhen,disabledWhen,confirmation,purpose
auth.login,/login,Prihlaseni,field,login.username,Uzivatelske jmeno,text,TEXT_1,True,NONEMPTY + SERVER_EXACT_SINGLETON_USERNAME,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Rucne zadany username pevne identity. UI nesmi zobrazit ani predvyplnit KRMAR78.
auth.login,/login,Prihlaseni,field,login.password,Heslo,password,SECRET_1,True,NONEMPTY + SERVER_ARGON2_VERIFY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Deployment-managed heslo pevne identity.
auth.login,/login,Prihlaseni,action,login.submit,Prihlasit se,,,,,,,AUTH.LOGIN,"username,password locally valid AND not pending",missing field OR local invalid OR throttle/lock active OR request pending,NONE,Spusti password fazi autentizace.
auth.mfa,/login/mfa,MFA / enrollment / recovery,field,mfa.code,Overovaci kod,text,TEXT_1,True,EXACT_6_DIGITS + SERVER_TOTP_VERIFY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Sestimistny TOTP kod.
auth.mfa,/login/mfa,MFA / enrollment / recovery,field,mfa.recovery,Recovery kod,text,TEXT_1,False,SERVER_RECOVERY_CODE_VERIFY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Alternativni nepouzity jednorazovy recovery kod.
auth.mfa,/login/mfa,MFA / enrollment / recovery,field,mfa.trusted,Důvěryhodné zařízení,checkbox,,False,BOOLEAN,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,OWNER preference pro dobu duveryhodneho zarizeni podle current konfigurace.
auth.mfa,/login/mfa,MFA / enrollment / recovery,action,mfa.verify,Ověřit,,,,,,,AUTH.MFA_VERIFY,exactly one of valid TOTP/recovery inputs present AND not pending,both empty OR conflicting modes OR pending,NONE,Dokonci TOTP/recovery autentizaci.
auth.mfa,/login/mfa,MFA / enrollment / recovery,action,mfa.showSeed,Zobrazit ruční seed,,,,,,,AUTH.MFA_ENROLLMENT_SEED_REVEAL,enrollment session active,MFA already active OR session not enrollment,NONE,Zobrazi manual seed pouze v enrollment session.
auth.mfa,/login/mfa,MFA / enrollment / recovery,action,mfa.copyRecovery,Kopírovat recovery kódy,,,,,,,AUTH.RECOVERY_CODES_COPY,fresh enrollment completion response contains codes,codes no longer revealable,NONE,Kopiruje jednorazove zobrazene recovery codes.
central.chat,/chat,Centrální chat,field,chat.conversation,Konverzace,select,,False,EXISTING_CONVERSATION_ID,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Vyber persistentni konverzace nebo aktivniho threadu.
central.chat,/chat,Centrální chat,field,chat.model,OpenAI model,select,,True,OPENAI_SUPPORTED_MODEL + CAPABILITY_CHECK,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,OWNER volba globalniho nebo kontextoveho OpenAI modelu.
central.chat,/chat,Centrální chat,field,chat.message,Zpráva,textarea,TEXT_50,True,NONEMPTY_AFTER_UI_ONLY_WHITESPACE_CHECK; ORIGINAL_CONTENT_PRESERVED,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,"Prirozeny OWNER dotaz, prikaz nebo zadani."
central.chat,/chat,Centrální chat,field,chat.url,URL,url,TEXT_1,False,ABSOLUTE_HTTPS_OR_ALLOWED_SCHEME + SSRF/NAVIGATION_POLICY_SERVER,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Volitelny webovy zdroj nebo cil pro browser session.
central.chat,/chat,Centrální chat,field,chat.credential,Credential,secret,SECRET_50,False,SECRET_TYPE/PLACEMENT_SERVER_VALIDATION,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Volitelny business credential vlozeny do aktualniho operation contextu.
central.chat,/chat,Centrální chat,field,chat.browserSession,Browser session,select,,False,CURRENT_ATTACHABLE_BROWSER_SESSION,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Pripoji exact existujici browser session ke konverzaci.
central.chat,/chat,Centrální chat,action,chat.new,Nová konverzace,,,,,,,CHAT.CONVERSATION_CREATE,session authenticated,request pending,NONE,Zalozi novou persistentni konverzaci.
central.chat,/chat,Centrální chat,action,chat.send,Odeslat,,,,,,,CHAT.MESSAGE_SEND,message has content OR attachment/url/target reference AND model capability ready,empty submission OR OPENAI_CONFIGURATION_REQUIRED for AI turn OR pending same submit,NONE,Vytvori OWNER message a model/action turn.
central.chat,/chat,Centrální chat,action,chat.steer,Upravit směr,,,,,,,CHAT.STEER,turn nonterminal AND operation permits steer,terminal turn OR reconciliation/manual-review barrier,NONE,Vlozi novou OWNER instrukci do beziciho turnu s checkpoint/reconciliation.
central.chat,/chat,Centrální chat,action,chat.cancel,Zrušit běh,,,,,,,CHAT.CANCEL,current turn cancellable and nonterminal,no cancellable turn OR cancellation already committed,NONE,Pozada o canonical cancellation current turn/run.
central.chat,/chat,Centrální chat,action,chat.openWeb,Otevřít web,,,,,,,BROWSER.SESSION_OPEN,browser capability available AND valid target URL/intention,browser capability unavailable OR recovery barrier,NONE,Zalozi nebo pripoji browser session pro URL/intention.
central.chat,/chat,Centrální chat,action,chat.takeover,Převzít ovládání,,,,,,,BROWSER.CONTROL_TAKEOVER,session READY/PAUSED and controller != OWNER and no incompatible transfer pending,already OWNER OR transfer/recovery pending,NONE,Fenced transfer browser control lease na OWNERa.
central.chat,/chat,Centrální chat,action,chat.returnAi,Vrátit AI,,,,,,,BROWSER.CONTROL_RETURN_AI,OWNER holds current control lease AND AI consumer attached AND challenge resolved,OWNER not controller OR stale epoch OR unresolved challenge,NONE,Fenced transfer browser control z OWNERa zpet AI consumeru.
